run_id,park_type,service_target,climate_zone,year,native_cover,invasive_cover,canopy_cover,Ce,Cr,Ct,Cep,MPS,satisfaction,action,mgmt_mode,conflict_total,budget_used,temp_anomaly,precip_anomaly,heatwave,drought_event,heavy_rain,storm,pest_outbreak,disturb_canopy_loss,disturb_native_loss,edge_fraction,invasive_edge,invasive_core,canopy_edge,canopy_core,alloc_monitoring,alloc_invasive_removal,alloc_ecological_restoration,alloc_infrastructure,alloc_visitor_experience,alloc_ecosystem_service
0,NSF,recreation,Temperate,0,0.9078414196393586,0.15532197702092193,0.7077306912433001,0.8529064230713428,0.7037295845399973,0.7458478462107014,0.7560915101209483,0.7407903216029599,0.875470127554006,monitoring,single,0,0.0,-0.12072955799240992,0.1374077711155503,0.0,0.0,0.8836245027347229,0.0,0.0,0.01996991376180474,0.0,0.26,0.16746467382593594,0.15294751598132245,0.7019672450400517,0.7097556858552522,1.0,0.0,0.0,0.0,0.0,0.0
0,NSF,recreation,Temperate,1,0.9128414196393586,0.18515700459286522,0.7069689431500921,0.8425360399142972,0.692982625652534,0.747869321782739,0.756580729019957,0.7336239280783037,0.7668870696285099,monitoring,single,0,0.0,-0.3336368350347543,-0.03743046253777036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.20476910261455208,0.18015815934200227,0.7012670970412362,0.7089722944856361,1.0,0.0,0.0,0.0,0.0,0.0
0,NSF,recreation,Temperate,2,0.8935180719787233,0.22503508020576354,0.6864951305951684,0.8094855682439166,0.6708357741660501,0.7330316715689761,0.7401203787514637,0.7117097539351055,0.7491257005790785,monitoring,single,0,0.0,0.6347834040036606,0.1416401246624664,0.0,0.0,0.0,0.0,0.7175028808446976,0.02432334766063525,0.02432334766063525,0.26,0.26324628302808833,0.21350141434927106,0.6745248385072443,0.690700908896331,1.0,0.0,0.0,0.0,0.0,0.0
0,NSF,recreation,Temperate,3,0.8985180719787235,0.2569051693456818,0.6751597792052073,0.7981832424812876,0.6551471024110942,0.7318810661519878,0.7340598873777592,0.7000584767890456,0.7899943716788472,monitoring,single,0,0.0,1.0958888687099584,0.38655727787584815,0.0,0.0,1.0,0.0,0.0,0.022600000000000002,0.0,0.26,0.3132727130106727,0.23899224859852283,0.6544862401011012,0.68242345510665,1.0,0.0,0.0,0.0,0.0,0.0
0,NSF,recreation,Temperate,4,0.9035180719787234,0.2792327097925031,0.6798876387376716,0.791280375748943,0.6492236070676926,0.735549424011727,0.7379892647024989,0.6969178355912448,0.7962228794522072,monitoring,single,0,0.0,0.6091557102643934,0.13600727168488977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.3388123815794587,0.2601912034889782,0.6610942889965407,0.6864907075656366,1.0,0.0,0.0,0.0,0.0,0.0
0,NSF,recreation,Temperate,5,0.8914793101752323,0.3105027981798392,0.6654339872094805,0.7680408424055654,0.6324976155208485,0.7257958857416987,0.7265976510108677,0.680978933673645,0.7249509057317389,infrastructure,single,0,8.0,-1.9095110775274535,-0.0011229208601678375,0.0,0.0,0.0,0.0,0.5026183422858734,0.01703876180349111,0.01703876180349111,0.26,0.3745128541413237,0.28990467040958795,0.6428826539088782,0.6733574286394219,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,6,0.8951793101752323,0.3356600999889254,0.6689688239803675,0.7588686351139701,0.6251064945960231,0.7285213367729648,0.729542470228493,0.6763994950179033,0.7951551952644279,infrastructure,single,0,8.0,0.7457887350633732,0.03734269769864749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.41579295523134613,0.30939720490375056,0.6482837001159183,0.6762365702030119,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,7,0.8988793101752324,0.35045711087437653,0.6624927488678258,0.7545064321446812,0.6173371107410985,0.7282435142392023,0.7262609693287202,0.6707879210189707,0.7744401713252046,infrastructure,single,0,8.0,-0.2093477027525602,-0.15922627477107204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.42361491992801487,0.32664490769336846,0.6464504220930698,0.6681292420589564,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,8,0.9025793101752324,0.3744576065233704,0.6626666892539829,0.7457786203797921,0.6090065134184135,0.7299606963550495,0.7271167940318114,0.6652398038789635,0.6524904848894063,infrastructure,single,0,8.0,0.37647440630900025,-0.1057419724465676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.4399838817281756,0.3533267530730334,0.6487030261059643,0.6675728411708542,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,9,0.9062793101752323,0.39433958335526603,0.6662480043828153,0.738940989795733,0.603480347578783,0.7327000908936991,0.7300839444622985,0.6620421376195202,0.6864425643145671,infrastructure,single,0,8.0,1.8220482568263954,0.029756134708527917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.448359540770367,0.3772514902094198,0.6535147606385235,0.6707218467794583,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,10,0.9099793101752324,0.4118936721751079,0.6409936153499648,0.7331602978037299,0.5872346608786982,0.726788774183844,0.7151989752666135,0.6486717806255506,0.619714589053963,infrastructure,single,1,8.0,-0.16281993826371652,0.22093264521345904,0.7290073043609405,0.0,0.0,0.0,0.0,0.03295113015711451,0.0,0.26,0.46046664098482126,0.39671938583655997,0.6202251313873594,0.6482906502557451,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,11,0.9328640933999605,0.3867525154651595,0.6454611399040076,0.7607045112140685,0.5978210755487973,0.7384271840011845,0.722676626981235,0.6612853120303143,0.725220692089298,invasive_removal,single,0,20.0,0.5533744543798899,-0.0077884925132470535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.43235618393555786,0.37262149681339785,0.6264321499313174,0.6521470012457636,0.0,1.0,0.0,0.0,0.0,0.0
0,NSF,recreation,Temperate,12,0.9328640933999605,0.4122698287721366,0.6462782229972794,0.7484597929494383,0.589216849128664,0.738672308929166,0.7231781401105835,0.6548410948782143,0.7710193405589219,infrastructure,single,1,8.0,-0.42449188088877715,-0.13105950657912172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.4395524050881518,0.40457595060705015,0.6268685969315205,0.6530978213447083,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,13,0.9570488766246885,0.38361089127113757,0.6511455391322893,0.778776611279912,0.6011944037080176,0.7510156562207966,0.7311153865597348,0.6687980566654231,0.7021543261058617,invasive_removal,single,0,20.0,-0.7058137730100333,0.02718062730781901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.3960558222720172,0.38113023983839606,0.6332018354540003,0.6574500836679045,0.0,1.0,0.0,0.0,0.0,0.0
0,NSF,recreation,Temperate,14,0.9570488766246885,0.4077162902651779,0.6482392475441714,0.7670345179727531,0.5915949974248563,0.7501437687443613,0.7293472374381218,0.6613162506416443,0.7152197367681539,infrastructure,single,1,8.0,-0.11211177633473242,-0.14401069572703692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.429628424392703,0.40190932422037184,0.6323523528465399,0.6538211294649608,0.0,0.0,0.0,1.0,0.0,0.0
0,NSF,recreation,Temperate,15,0.9812336598494165,0.3812456653601416,0.6468517464175607,0.7965104709505876,0.6003047156909748,0.7606106708575056,0.7334760404078715,0.6724004394399492,0.7376435373630195,invasive_removal,single,0,20.0,0.8865992359043466,-0.15236435183645133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.3961675449700365,0.3778947346863948,0.628542149094838,0.6532848481795984,0.0,1.0,0.0,0.0,0.0,0.0
